EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country,MultiShowDay
113,2020-08-12,AEW,AEW Dynamite,AEW Dynamite #45 - Tag Team Appreciation Night,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
114,2020-08-12,AEW,AEW Dark,AEW Dark #47,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
115,2020-08-13,AEW,AEW Dynamite,AEW Dynamite #46 - Saturday Night Dynamite,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
116,2020-08-13,AEW,AEW Dark,AEW Dark #48,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
117,2020-08-27,AEW,AEW Dynamite,AEW Dynamite #47 - Thursday Night Dynamite,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
118,2020-08-27,AEW,AEW Dark,AEW Dark #49,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
119,2020-09-02,AEW,AEW Dynamite,AEW Dynamite #48,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
120,2020-09-02,AEW,AEW Dark,AEW Dark #50,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
121,2020-09-05,AEW,AEW All Out  The Buy In,AEW All Out 2020 - The Buy In,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
122,2020-09-05,AEW,AEW Dark,AEW Dark #51,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
123,2020-09-05,AEW,AEW All Out,AEW All Out 2020,PLE/PPV,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
124,2020-09-09,AEW,AEW Dynamite,AEW Dynamite #49,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,False
125,2020-09-10,AEW,AEW Dynamite,AEW Dynamite #50,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
126,2020-09-10,AEW,AEW Dark,AEW Dark #52,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
127,2020-09-10,AEW,AEW Dynamite,AEW Late Night Dynamite,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
128,2020-09-10,AEW,AEW Dark,AEW Dark #53,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
129,2020-09-23,AEW,AEW Dynamite,AEW Dynamite #51,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
130,2020-09-23,AEW,AEW Dark,AEW Dark #54,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
131,2020-09-25,AEW,AEW Dynamite,AEW Dynamite #52,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
132,2020-09-25,AEW,AEW Dark,AEW Dark #55,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
133,2020-10-07,AEW,AEW Dynamite,AEW Dynamite #53 - Chris Jericho's 30th Anniversary Celebration,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
134,2020-10-07,AEW,AEW Dark,AEW Dark #56,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
135,2020-10-14,AEW,AEW Dynamite,AEW Dynamite #54 - Anniversary 2020,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
136,2020-10-14,AEW,AEW Dark,AEW Dark #57,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
137,2020-10-21,AEW,AEW Dynamite,AEW Dynamite #55,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
138,2020-10-21,AEW,AEW Dark,AEW Dark #58,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
139,2020-10-22,AEW,AEW Dynamite,AEW Dynamite #56,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
140,2020-10-22,AEW,AEW Dark,AEW Dark #59,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
141,2020-11-04,AEW,AEW Dynamite,AEW Dynamite #57,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
142,2020-11-04,AEW,AEW Dark,AEW Dark #60,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
143,2020-11-07,AEW,AEW Full Gear  The Buy In,AEW Full Gear 2020 - The Buy In,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
144,2020-11-07,AEW,AEW Dark,AEW Dark #61,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
145,2020-11-07,AEW,AEW Full Gear,AEW Full Gear 2020,PLE/PPV,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
146,2020-11-11,AEW,AEW Dark,AEW Dark #62,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
147,2020-11-11,AEW,AEW Dynamite,AEW Dynamite #58,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
148,2020-11-18,AEW,AEW Dynamite,AEW Dynamite #59,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
149,2020-11-18,AEW,AEW Dark,AEW Dark #63,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
150,2020-11-19,AEW,AEW Dynamite,AEW Dynamite #60 - Thanksgiving Eve 2020,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
151,2020-11-19,AEW,AEW Dark,AEW Dark #64,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
152,2020-12-02,AEW,AEW Dynamite,AEW Dynamite #61 - Winter Is Coming 2020,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
153,2020-12-02,AEW,AEW Dark,AEW Dark #65,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
154,2020-12-03,AEW,AEW Dark,AEW Dark #66,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
155,2020-12-03,AEW,AEW Dynamite,AEW Dynamite #62,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
156,2020-12-16,AEW,AEW Dark,AEW Dark #67,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
157,2020-12-16,AEW,AEW Dynamite,AEW Dynamite #63,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
158,2020-12-17,AEW,AEW Dark,AEW Dark #68,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
159,2020-12-17,AEW,AEW Dynamite,AEW Dynamite #64 - Holiday Bash 2020,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
160,2020-12-30,AEW,AEW Dynamite,AEW Dynamite #65 - A Celebration Of Mr. Brodie Lee's Life,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
161,2020-12-30,AEW,AEW Dark,AEW Dark #69,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
162,2021-01-06,AEW,AEW Dynamite,AEW Dynamite #66 - New Year's Smash 2021,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
163,2021-01-06,AEW,AEW Dark,AEW Dark #70,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
164,2021-01-07,AEW,AEW Dynamite,AEW Dynamite #67 - New Year's Smash 2021,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
165,2021-01-07,AEW,AEW Dark,AEW Dark #71,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
166,2021-01-20,AEW,AEW Dynamite,AEW Dynamite #68,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
167,2021-01-20,AEW,AEW Dark,AEW Dark #72,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
168,2021-01-21,AEW,AEW Dynamite,AEW Dynamite #69,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
169,2021-01-21,AEW,AEW Dark,AEW Dark #73,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
170,2021-02-03,AEW,AEW Dynamite,AEW Dynamite #70 - Beach Break 2021,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
171,2021-02-03,AEW,AEW Dark,AEW Dark #74,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
172,2021-02-04,AEW,AEW Dynamite,AEW Dynamite #71,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
173,2021-02-04,AEW,AEW Dark,AEW Dark #75,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
174,2021-02-15,AEW,AEW Women's World Championship Eliminator Tournament,AEW Women's World Championship Eliminator Tournament: Japan Bracket - First Round,Televised,"Saitama, Japan",Saitama,Japan,USA,False
175,2021-02-17,AEW,AEW Dynamite,AEW Dynamite #72,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
176,2021-02-17,AEW,AEW Dark,AEW Dark #76,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
177,2021-02-18,AEW,AEW Dynamite,AEW Dynamite #73,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
178,2021-02-18,AEW,AEW Dark,AEW Dark #77,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
179,2021-02-22,AEW,AEW Women's World Championship Eliminator Tournament,AEW Women's World Championship Eliminator Tournament: United States & Japan Brackets,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,False
180,2021-02-28,AEW,AEW Women's World Championship Eliminator Tournament,AEW Women's World Championship Eliminator Tournament: United States & Japan Brackets,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,False
181,2021-03-01,AEW,AEW Women's World Championship Eliminator Tournament,AEW Women's World Championship Eliminator Tournament: United States Bracket - Final,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,False
182,2021-03-03,AEW,AEW Dynamite,AEW Dynamite #74 - The Crossroads,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
183,2021-03-03,AEW,AEW Dark,AEW Dark #78,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
184,2021-03-03,AEW,AEW Dark,AEW Dark #79,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
185,2021-03-07,AEW,AEW Revolution  The Buy In,AEW Revolution 2021 - The Buy In,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
